id,project,meeting_number,speaker_number,speech_frequency,total_words,duration,normalized_speech_frequency,speaker_id,next_speaker_id,count,network_density,weighted_network_density,gini_coefficient,interaction_equality_index,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
3_4_SPEAKER_03,3,5,3,2335,2852,37,63.108108108108105,3,3,18,0.5,4.416666666666667,0.45754716635813464,0.041814043351349306,70,1.0,0.17647058823529413,0.9063656762126306
4_0_SPEAKER_00,4,1,0,1294,12023,120,10.783333333333333,0,0,1,0.8,14.8,0.401351350673393,0.147041414158946,118,0.25,0.125,0.4426638922220183
4_0_SPEAKER_00,4,1,0,1294,12023,120,10.783333333333333,0,1,1,0.8,14.8,0.401351350673393,0.147041414158946,118,0.25,0.125,0.4426638922220183
4_0_SPEAKER_00,4,1,0,1294,12023,120,10.783333333333333,0,2,1,0.8,14.8,0.401351350673393,0.147041414158946,118,0.25,0.125,0.4426638922220183
4_0_SPEAKER_00,4,1,0,1294,12023,120,10.783333333333333,0,3,48,0.8,14.8,0.401351350673393,0.147041414158946,118,0.25,0.125,0.4426638922220183
4_0_SPEAKER_00,4,1,0,1294,12023,120,10.783333333333333,0,4,8,0.8,14.8,0.401351350673393,0.147041414158946,118,0.25,0.125,0.4426638922220183
4_0_SPEAKER_01,4,1,1,711,12023,120,5.925,1,0,3,0.8,14.8,0.401351350673393,0.147041414158946,50,0.08333333333333333,0.15384615384615385,0.1707551863633339
4_0_SPEAKER_01,4,1,1,711,12023,120,5.925,1,1,4,0.8,14.8,0.401351350673393,0.147041414158946,50,0.08333333333333333,0.15384615384615385,0.1707551863633339
4_0_SPEAKER_01,4,1,1,711,12023,120,5.925,1,2,0,0.8,14.8,0.401351350673393,0.147041414158946,50,0.08333333333333333,0.15384615384615385,0.1707551863633339
4_0_SPEAKER_01,4,1,1,711,12023,120,5.925,1,3,18,0.8,14.8,0.401351350673393,0.147041414158946,50,0.08333333333333333,0.15384615384615385,0.1707551863633339
4_0_SPEAKER_01,4,1,1,711,12023,120,5.925,1,4,0,0.8,14.8,0.401351350673393,0.147041414158946,50,0.08333333333333333,0.15384615384615385,0.1707551863633339
4_0_SPEAKER_02,4,1,2,600,12023,120,5.0,2,0,4,0.8,14.8,0.401351350673393,0.147041414158946,52,0.25,0.14814814814814814,0.19500086693101804
4_0_SPEAKER_02,4,1,2,600,12023,120,5.0,2,1,3,0.8,14.8,0.401351350673393,0.147041414158946,52,0.25,0.14814814814814814,0.19500086693101804
4_0_SPEAKER_02,4,1,2,600,12023,120,5.0,2,2,3,0.8,14.8,0.401351350673393,0.147041414158946,52,0.25,0.14814814814814814,0.19500086693101804
4_0_SPEAKER_02,4,1,2,600,12023,120,5.0,2,3,16,0.8,14.8,0.401351350673393,0.147041414158946,52,0.25,0.14814814814814814,0.19500086693101804
4_0_SPEAKER_02,4,1,2,600,12023,120,5.0,2,4,0,0.8,14.8,0.401351350673393,0.147041414158946,52,0.25,0.14814814814814814,0.19500086693101804
4_0_SPEAKER_03,4,1,3,8844,12023,120,73.7,3,0,46,0.8,14.8,0.401351350673393,0.147041414158946,314,0.0,0.057971014492753624,0.8298009811574104
4_0_SPEAKER_03,4,1,3,8844,12023,120,73.7,3,1,17,0.8,14.8,0.401351350673393,0.147041414158946,314,0.0,0.057971014492753624,0.8298009811574104
4_0_SPEAKER_03,4,1,3,8844,12023,120,73.7,3,2,20,0.8,14.8,0.401351350673393,0.147041414158946,314,0.0,0.057971014492753624,0.8298009811574104
4_0_SPEAKER_03,4,1,3,8844,12023,120,73.7,3,3,54,0.8,14.8,0.401351350673393,0.147041414158946,314,0.0,0.057971014492753624,0.8298009811574104
4_0_SPEAKER_03,4,1,3,8844,12023,120,73.7,3,4,20,0.8,14.8,0.401351350673393,0.147041414158946,314,0.0,0.057971014492753624,0.8298009811574104
4_0_SPEAKER_04,4,1,4,574,12023,120,4.783333333333333,4,0,5,0.8,14.8,0.401351350673393,0.147041414158946,58,0.0,0.0784313725490196,0.21976427921576994
4_0_SPEAKER_04,4,1,4,574,12023,120,4.783333333333333,4,1,0,0.8,14.8,0.401351350673393,0.147041414158946,58,0.0,0.0784313725490196,0.21976427921576994
4_0_SPEAKER_04,4,1,4,574,12023,120,4.783333333333333,4,2,2,0.8,14.8,0.401351350673393,0.147041414158946,58,0.0,0.0784313725490196,0.21976427921576994
4_0_SPEAKER_04,4,1,4,574,12023,120,4.783333333333333,4,3,21,0.8,14.8,0.401351350673393,0.147041414158946,58,0.0,0.0784313725490196,0.21976427921576994
4_0_SPEAKER_04,4,1,4,574,12023,120,4.783333333333333,4,4,1,0.8,14.8,0.401351350673393,0.147041414158946,58,0.0,0.0784313725490196,0.21976427921576994
4_1_SPEAKER_00,4,2,0,1894,11416,126,15.031746031746032,0,0,8,0.9,15.0,0.41333333264444444,0.1872543106508927,116,0.0,0.16666666666666666,0.3931954106894821
4_1_SPEAKER_00,4,2,0,1894,11416,126,15.031746031746032,0,1,8,0.9,15.0,0.41333333264444444,0.1872543106508927,116,0.0,0.16666666666666666,0.3931954106894821
4_1_SPEAKER_00,4,2,0,1894,11416,126,15.031746031746032,0,2,3,0.9,15.0,0.41333333264444444,0.1872543106508927,116,0.0,0.16666666666666666,0.3931954106894821
4_1_SPEAKER_00,4,2,0,1894,11416,126,15.031746031746032,0,3,39,0.9,15.0,0.41333333264444444,0.1872543106508927,116,0.0,0.16666666666666666,0.3931954106894821
4_1_SPEAKER_00,4,2,0,1894,11416,126,15.031746031746032,0,4,0,0.9,15.0,0.41333333264444444,0.1872543106508927,116,0.0,0.16666666666666666,0.3931954106894821
4_1_SPEAKER_01,4,2,1,1057,11416,126,8.38888888888889,1,0,6,0.9,15.0,0.41333333264444444,0.1872543106508927,118,0.08333333333333333,0.23529411764705882,0.4492896443817239
4_1_SPEAKER_01,4,2,1,1057,11416,126,8.38888888888889,1,1,1,0.9,15.0,0.41333333264444444,0.1872543106508927,118,0.08333333333333333,0.23529411764705882,0.4492896443817239
4_1_SPEAKER_01,4,2,1,1057,11416,126,8.38888888888889,1,2,2,0.9,15.0,0.41333333264444444,0.1872543106508927,118,0.08333333333333333,0.23529411764705882,0.4492896443817239
4_1_SPEAKER_01,4,2,1,1057,11416,126,8.38888888888889,1,3,48,0.9,15.0,0.41333333264444444,0.1872543106508927,118,0.08333333333333333,0.23529411764705882,0.4492896443817239
4_1_SPEAKER_01,4,2,1,1057,11416,126,8.38888888888889,1,4,2,0.9,15.0,0.41333333264444444,0.1872543106508927,118,0.08333333333333333,0.23529411764705882,0.4492896443817239
4_1_SPEAKER_02,4,2,2,322,11416,126,2.5555555555555554,2,0,3,0.9,15.0,0.41333333264444444,0.1872543106508927,34,0.5416666666666666,0.2222222222222222,0.10983986905983026
4_1_SPEAKER_02,4,2,2,322,11416,126,2.5555555555555554,2,1,1,0.9,15.0,0.41333333264444444,0.1872543106508927,34,0.5416666666666666,0.2222222222222222,0.10983986905983026
4_1_SPEAKER_02,4,2,2,322,11416,126,2.5555555555555554,2,2,2,0.9,15.0,0.41333333264444444,0.1872543106508927,34,0.5416666666666666,0.2222222222222222,0.10983986905983026
4_1_SPEAKER_02,4,2,2,322,11416,126,2.5555555555555554,2,3,10,0.9,15.0,0.41333333264444444,0.1872543106508927,34,0.5416666666666666,0.2222222222222222,0.10983986905983026
4_1_SPEAKER_02,4,2,2,322,11416,126,2.5555555555555554,2,4,1,0.9,15.0,0.41333333264444444,0.1872543106508927,34,0.5416666666666666,0.2222222222222222,0.10983986905983026
4_1_SPEAKER_03,4,2,3,7776,11416,126,61.714285714285715,3,0,38,0.9,15.0,0.41333333264444444,0.1872543106508927,300,0.0,0.08888888888888889,0.7874524058340285
4_1_SPEAKER_03,4,2,3,7776,11416,126,61.714285714285715,3,1,48,0.9,15.0,0.41333333264444444,0.1872543106508927,300,0.0,0.08888888888888889,0.7874524058340285
4_1_SPEAKER_03,4,2,3,7776,11416,126,61.714285714285715,3,2,10,0.9,15.0,0.41333333264444444,0.1872543106508927,300,0.0,0.08888888888888889,0.7874524058340285
4_1_SPEAKER_03,4,2,3,7776,11416,126,61.714285714285715,3,3,43,0.9,15.0,0.41333333264444444,0.1872543106508927,300,0.0,0.08888888888888889,0.7874524058340285
4_1_SPEAKER_03,4,2,3,7776,11416,126,61.714285714285715,3,4,11,0.9,15.0,0.41333333264444444,0.1872543106508927,300,0.0,0.08888888888888889,0.7874524058340285
4_1_SPEAKER_04,4,2,4,367,11416,126,2.9126984126984126,4,0,3,0.9,15.0,0.41333333264444444,0.1872543106508927,32,0.08333333333333333,0.2222222222222222,0.10672439353396808
